CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,MonthlyCharges,TotalCharges,Churn,TenureGroup
C00001,Male,0,Yes,Yes,54,Month-to-month,50.77,2732.87,0,49-72 months
C00002,Male,0,No,Yes,28,One year,116.85,3278.97,0,25-48 months
C00003,Male,1,No,Yes,31,Month-to-month,90.67,2813.66,1,25-48 months
C00004,Male,0,No,Yes,6,Month-to-month,50.64,311.87,0,0-12 months
C00005,Female,0,No,No,54,Month-to-month,43.57,2347.83,0,49-72 months
C00006,Female,0,No,Yes,46,Two year,88.73,4091.52,0,25-48 months
C00007,Female,0,No,Yes,48,Month-to-month,56.79,2727.03,0,25-48 months
C00008,Female,0,No,Yes,40,Two year,41.63,1656.83,0,25-48 months
C00009,Female,1,No,No,20,One year,22.02,439.24,0,13-24 months
C00010,Male,0,No,No,15,Month-to-month,66.12,1000.17,1,13-24 months
C00011,Male,1,Yes,No,72,Two year,48.78,3505.65,0,49-72 months
C00012,Female,0,Yes,Yes,69,Month-to-month,80.99,5590.64,0,49-72 months
C00013,Male,0,No,No,61,Two year,38.08,2321.46,0,49-72 months
C00014,Female,0,No,Yes,60,Month-to-month,96.42,5776.14,0,49-72 months
C00015,Male,0,Yes,Yes,18,Month-to-month,70.69,1275.39,1,13-24 months
C00016,Male,0,Yes,Yes,37,One year,52.87,1961.62,0,25-48 months
C00017,Female,0,No,Yes,23,Two year,65.08,1492.56,1,13-24 months
C00018,Male,0,Yes,No,28,Month-to-month,44.97,1269.01,0,25-48 months
C00019,Female,0,No,No,12,Month-to-month,94.6,1143.61,0,0-12 months
C00020,Female,0,No,Yes,66,Month-to-month,92.91,6127.34,1,49-72 months
C00021,Male,0,Yes,No,39,Month-to-month,41.69,1617.09,0,25-48 months
C00022,Male,0,No,Yes,65,Month-to-month,35.08,2277.97,0,49-72 months
C00023,Male,0,No,Yes,43,Month-to-month,24.63,1058.8,1,25-48 months
C00024,Male,0,Yes,Yes,8,Two year,55.32,436.65,0,0-12 months
C00025,Male,1,Yes,No,40,Month-to-month,68.2,2719.18,0,25-48 months
C00026,Female,0,Yes,Yes,40,One year,56.01,2235.46,1,25-48 months
C00027,Female,0,Yes,No,28,Two year,81.38,2269.93,0,25-48 months
C00028,Female,1,Yes,No,71,One year,119.84,8507.76,0,49-72 months
C00029,Male,0,Yes,Yes,20,Month-to-month,32.86,652.19,0,13-24 months
C00030,Male,0,No,Yes,60,Month-to-month,39.86,2400.16,0,49-72 months
C00031,Male,0,No,Yes,2,Month-to-month,61.37,123.3,0,0-12 months
C00032,Male,0,No,No,57,Two year,67.35,3845.53,0,49-72 months
C00033,Female,0,Yes,Yes,47,Two year,86.03,4045.2,0,25-48 months
C00034,Female,0,Yes,Yes,47,Two year,111.55,5246.51,0,25-48 months
C00035,Male,0,No,No,19,Month-to-month,47.07,894.79,1,13-24 months
C00036,Male,0,No,Yes,6,Two year,94.68,574.9,0,0-12 months
C00037,Female,1,Yes,No,72,One year,74,5318.59,1,49-72 months
C00038,Male,0,Yes,No,46,Month-to-month,86.08,3963.17,0,25-48 months
C00039,Female,0,Yes,No,7,Two year,94.18,659.82,0,0-12 months
C00040,Male,1,No,Yes,32,Two year,21.13,677.77,0,25-48 months
C00041,Female,0,Yes,No,10,One year,22.83,226.96,0,0-12 months
C00042,Male,1,Yes,No,40,Two year,58.31,2331.03,0,25-48 months
C00043,Male,0,Yes,Yes,59,Two year,51.06,3017.9,0,49-72 months
C00044,Male,0,No,Yes,69,Month-to-month,59.73,4114.98,1,49-72 months
C00045,Male,1,No,Yes,38,Month-to-month,116.27,4416.05,1,25-48 months
C00046,Male,0,No,No,7,One year,30.42,222.07,0,0-12 months
C00047,Male,0,Yes,Yes,54,One year,58.06,3136.35,0,49-72 months
C00048,Male,0,Yes,No,64,Two year,105.71,6756.35,1,49-72 months
C00049,Female,0,Yes,No,51,One year,86.92,4439.24,0,49-72 months
C00050,Male,1,Yes,No,71,Month-to-month,53,3762.84,1,49-72 months
C00051,Female,0,No,No,19,One year,101.94,1927.32,0,13-24 months
C00052,Female,0,Yes,No,67,Two year,74.54,4991.17,0,49-72 months
C00053,Male,0,No,No,44,Month-to-month,104.12,4582.03,0,25-48 months
C00054,Female,0,No,Yes,68,Two year,66.97,4563.69,0,49-72 months
C00055,Male,0,Yes,Yes,33,One year,69.62,2299.83,0,25-48 months
C00056,Female,0,Yes,Yes,31,Month-to-month,72.74,2257.89,0,25-48 months
C00057,Female,0,Yes,No,44,Month-to-month,45.27,1993.1,0,25-48 months
C00058,Male,0,No,No,50,Month-to-month,93.42,4678.74,1,49-72 months
C00059,Male,0,Yes,Yes,21,One year,28.11,581.07,0,13-24 months
C00060,Female,0,No,No,47,Two year,107.79,5059.81,0,25-48 months
C00061,Male,1,No,No,3,One year,71.31,218.86,0,0-12 months
C00062,Female,0,No,Yes,1,Month-to-month,93.06,89.1,0,0-12 months
C00063,Female,0,Yes,Yes,9,One year,77.04,686.66,0,0-12 months
C00064,Male,0,No,No,2,Month-to-month,100.06,192.81,0,0-12 months
C00065,Male,0,Yes,Yes,63,One year,86.18,5420.36,0,49-72 months
C00066,Female,0,No,No,29,Month-to-month,64.79,1888.16,0,25-48 months
C00067,Female,0,Yes,Yes,10,Month-to-month,58.89,593.27,0,0-12 months
C00068,Male,0,Yes,Yes,31,Month-to-month,99.6,3079.41,0,25-48 months
C00069,Female,0,Yes,Yes,37,Month-to-month,33.02,1222.48,1,25-48 months
C00070,Male,0,No,Yes,72,Two year,117.07,8419.98,0,49-72 months
C00071,Male,0,Yes,No,56,One year,107.03,6001.76,1,49-72 months
C00072,Female,0,No,No,58,One year,68.89,3987.69,0,49-72 months
C00073,Male,0,Yes,Yes,34,Two year,84.2,2868.11,0,25-48 months
C00074,Female,0,Yes,No,4,Two year,102.36,416.94,0,0-12 months
C00075,Male,0,No,Yes,20,Two year,105.46,2112.19,0,13-24 months
C00076,Male,0,No,Yes,59,Month-to-month,91.05,5381.11,0,49-72 months
C00077,Male,0,Yes,Yes,67,Two year,83.95,5616.34,0,49-72 months
C00078,Female,0,Yes,Yes,1,Two year,118.2,126.09,0,0-12 months
C00079,Male,0,No,Yes,21,One year,53.86,1125.09,0,13-24 months
C00080,Female,0,Yes,No,71,One year,78.87,5601.28,1,49-72 months
C00081,Male,0,Yes,No,65,Month-to-month,24.34,1589.46,0,49-72 months
C00082,Male,0,Yes,No,15,Month-to-month,66.14,999.25,1,13-24 months
C00083,Female,0,Yes,No,24,Month-to-month,66.48,1590.4,0,13-24 months
C00084,Male,0,Yes,Yes,16,Month-to-month,82.54,1319.05,0,13-24 months
C00085,Male,1,No,Yes,23,Month-to-month,78.72,1817.62,1,13-24 months
C00086,Male,0,No,No,29,One year,27.16,777.92,0,25-48 months
C00087,Male,0,Yes,Yes,63,Month-to-month,103.8,6533.97,0,49-72 months
C00088,Female,0,No,No,9,Month-to-month,72.86,650.34,1,0-12 months
C00089,Female,0,No,No,37,Month-to-month,27.55,1013.23,1,25-48 months
C00090,Female,0,Yes,No,25,Month-to-month,102.56,2569.09,1,25-48 months
C00091,Male,0,No,Yes,32,Month-to-month,80.02,2567.91,0,25-48 months
C00092,Male,0,Yes,No,57,Two year,104.48,5945.93,0,49-72 months
C00093,Female,1,Yes,Yes,25,One year,109.67,2741.01,0,25-48 months
C00094,Male,0,No,Yes,59,Month-to-month,104.22,6147.89,1,49-72 months
C00095,Female,0,Yes,No,37,Month-to-month,119.07,4400.11,0,25-48 months
C00096,Male,0,No,No,58,One year,70.12,4070.85,0,49-72 months
