CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,MonthlyCharges,TotalCharges,Churn
C00001,Male,0,Yes,Yes,54,Month-to-month,50.77,2732.87,No
C00002,Male,0,No,Yes,28,One year,116.85,3278.97,No
C00003,Male,1,No,Yes,31,Month-to-month,90.67,2813.66,Yes
C00004,Male,0,No,Yes,6,Month-to-month,50.64,311.87,No
C00005,Female,0,No,No,54,Month-to-month,43.57,2347.83,No
C00006,Female,0,No,Yes,46,Two year,88.73,4091.52,No
C00007,Female,0,No,Yes,48,Month-to-month,56.79,2727.03,No
C00008,Female,0,No,Yes,40,Two year,41.63,1656.83,No
C00009,Female,1,No,No,20,One year,22.02,439.24,No
C00010,Male,0,No,No,15,Month-to-month,66.12,1000.17,Yes
C00011,Male,1,Yes,No,72,Two year,48.78,3505.65,No
C00012,Female,0,Yes,Yes,69,Month-to-month,80.99,5590.64,No
C00013,Male,0,No,No,61,Two year,38.08,2321.46,No
C00014,Female,0,No,Yes,60,Month-to-month,96.42,5776.14,No
C00015,Male,0,Yes,Yes,18,Month-to-month,70.69,1275.39,Yes
C00016,Male,0,Yes,Yes,37,One year,52.87,1961.62,No
C00017,Female,0,No,Yes,23,Two year,65.08,1492.56,Yes
C00018,Male,0,Yes,No,28,Month-to-month,44.97,1269.01,No
C00019,Female,0,No,No,12,Month-to-month,94.6,1143.61,No
C00020,Female,0,No,Yes,66,Month-to-month,92.91,6127.34,Yes
C00021,Male,0,Yes,No,39,Month-to-month,41.69,1617.09,No
C00022,Male,0,No,Yes,65,Month-to-month,35.08,2277.97,No
C00023,Male,0,No,Yes,43,Month-to-month,24.63,1058.8,Yes
C00024,Male,0,Yes,Yes,8,Two year,55.32,436.65,No
C00025,Male,1,Yes,No,40,Month-to-month,68.2,2719.18,No
C00026,Female,0,Yes,Yes,40,One year,56.01,2235.46,Yes
C00027,Female,0,Yes,No,28,Two year,81.38,2269.93,No
C00028,Female,1,Yes,No,71,One year,119.84,8507.76,No
C00029,Male,0,Yes,Yes,20,Month-to-month,32.86,652.19,No
C00030,Male,0,No,Yes,60,Month-to-month,39.86,2400.16,No
C00031,Male,0,No,Yes,2,Month-to-month,61.37,123.3,No
C00032,Male,0,No,No,57,Two year,67.35,3845.53,No
C00033,Female,0,Yes,Yes,47,Two year,86.03,4045.2,No
C00034,Female,0,Yes,Yes,47,Two year,111.55,5246.51,No
C00035,Male,0,No,No,19,Month-to-month,47.07,894.79,Yes
C00036,Male,0,No,Yes,6,Two year,94.68,574.9,No
C00037,Female,1,Yes,No,72,One year,74.0,5318.59,Yes
C00038,Male,0,Yes,No,46,Month-to-month,86.08,3963.17,No
C00039,Female,0,Yes,No,7,Two year,94.18,659.82,No
C00040,Male,1,No,Yes,32,Two year,21.13,677.77,No
C00041,Female,0,Yes,No,10,One year,22.83,226.96,No
C00042,Male,1,Yes,No,40,Two year,58.31,2331.03,No
C00043,Male,0,Yes,Yes,59,Two year,51.06,3017.9,No
C00044,Male,0,No,Yes,69,Month-to-month,59.73,4114.98,Yes
C00045,Male,1,No,Yes,38,Month-to-month,116.27,4416.05,Yes
C00046,Male,0,No,No,7,One year,30.42,222.07,No
C00047,Male,0,Yes,Yes,54,One year,58.06,3136.35,No
C00048,Male,0,Yes,No,64,Two year,105.71,6756.35,Yes
C00049,Female,0,Yes,No,51,One year,86.92,4439.24,No
C00050,Male,1,Yes,No,71,Month-to-month,53.0,3762.84,Yes
C00051,Female,0,No,No,19,One year,101.94,1927.32,No
C00052,Female,0,Yes,No,67,Two year,74.54,4991.17,No
C00053,Male,0,No,No,44,Month-to-month,104.12,4582.03,No
C00054,Female,0,No,Yes,68,Two year,66.97,4563.69,No
C00055,Male,0,Yes,Yes,33,One year,69.62,2299.83,No
C00056,Female,0,Yes,Yes,31,Month-to-month,72.74,2257.89,No
C00057,Female,0,Yes,No,44,Month-to-month,45.27,1993.1,No
C00058,Male,0,No,No,50,Month-to-month,93.42,4678.74,Yes
C00059,Male,0,Yes,Yes,21,One year,28.11,581.07,No
C00060,Female,0,No,No,47,Two year,107.79,5059.81,No
C00061,Male,1,No,No,3,One year,71.31,218.86,No
C00062,Female,0,No,Yes,1,Month-to-month,93.06,89.1,No
C00063,Female,0,Yes,Yes,9,One year,77.04,686.66,No
C00064,Male,0,No,No,2,Month-to-month,100.06,192.81,No
C00065,Male,0,Yes,Yes,63,One year,86.18,5420.36,No
C00066,Female,0,No,No,29,Month-to-month,64.79,1888.16,No
C00067,Female,0,Yes,Yes,10,Month-to-month,58.89,593.27,No
C00068,Male,0,Yes,Yes,31,Month-to-month,99.6,3079.41,No
C00069,Female,0,Yes,Yes,37,Month-to-month,33.02,1222.48,Yes
C00070,Male,0,No,Yes,72,Two year,117.07,8419.98,No
C00071,Male,0,Yes,No,56,One year,107.03,6001.76,Yes
C00072,Female,0,No,No,58,One year,68.89,3987.69,No
C00073,Male,0,Yes,Yes,34,Two year,84.2,2868.11,No
C00074,Female,0,Yes,No,4,Two year,102.36,416.94,No
C00075,Male,0,No,Yes,20,Two year,105.46,2112.19,No
C00076,Male,0,No,Yes,59,Month-to-month,91.05,5381.11,No
C00077,Male,0,Yes,Yes,67,Two year,83.95,5616.34,No
C00078,Female,0,Yes,Yes,1,Two year,118.2,126.09,No
C00079,Male,0,No,Yes,21,One year,53.86,1125.09,No
C00080,Female,0,Yes,No,71,One year,78.87,5601.28,Yes
C00081,Male,0,Yes,No,65,Month-to-month,24.34,1589.46,No
C00082,Male,0,Yes,No,15,Month-to-month,66.14,999.25,Yes
C00083,Female,0,Yes,No,24,Month-to-month,66.48,1590.4,No
C00084,Male,0,Yes,Yes,16,Month-to-month,82.54,1319.05,No
C00085,Male,1,No,Yes,23,Month-to-month,78.72,1817.62,Yes
C00086,Male,0,No,No,29,One year,27.16,777.92,No
C00087,Male,0,Yes,Yes,63,Month-to-month,103.8,6533.97,No
C00088,Female,0,No,No,9,Month-to-month,72.86,650.34,Yes
C00089,Female,0,No,No,37,Month-to-month,27.55,1013.23,Yes
C00090,Female,0,Yes,No,25,Month-to-month,102.56,2569.09,Yes
C00091,Male,0,No,Yes,32,Month-to-month,80.02,2567.91,No
C00092,Male,0,Yes,No,57,Two year,104.48,5945.93,No
C00093,Female,1,Yes,Yes,25,One year,109.67,2741.01,No
C00094,Male,0,No,Yes,59,Month-to-month,104.22,6147.89,Yes
C00095,Female,0,Yes,No,37,Month-to-month,119.07,4400.11,No
C00096,Male,0,No,No,58,One year,70.12,4070.85,No
C00097,Male,0,No,No,41,Month-to-month,21.88,889.78,No
C00098,Male,0,No,No,56,One year,119.36,6687.1,Yes
C00099,Male,0,Yes,No,23,Month-to-month,95.61,2190.64,No
C00100,Female,0,No,Yes,67,Two year,54.41,3640.09,No
C00101,Male,0,Yes,Yes,51,Month-to-month,24.39,1234.35,Yes
C00102,Female,0,No,Yes,10,Month-to-month,78.67,791.91,No
C00103,Male,0,Yes,No,41,Month-to-month,88.73,3641.58,No
C00104,Male,0,No,Yes,10,Month-to-month,85.21,849.26,Yes
C00105,Female,0,Yes,Yes,71,One year,36.1,2566.47,No
C00106,Female,0,Yes,Yes,52,Month-to-month,20.69,1074.34,Yes
C00107,Female,0,No,Yes,39,Month-to-month,27.87,1093.38,Yes
C00108,Female,0,Yes,No,32,Month-to-month,75.06,2397.34,No
C00109,Female,1,Yes,No,53,One year,111.38,5902.81,No
C00110,Male,0,Yes,Yes,68,Month-to-month,51.62,3509.94,Yes
C00111,Female,1,No,Yes,5,One year,35.82,185.75,No
C00112,Male,0,Yes,No,19,Month-to-month,67.25,1283.11,Yes
C00113,Female,1,Yes,Yes,33,One year,33.89,1109.37,No
C00114,Female,0,Yes,Yes,43,Month-to-month,56.34,2417.84,No
C00115,Female,0,Yes,No,3,Month-to-month,27.6,87.27,Yes
C00116,Male,0,No,Yes,60,Month-to-month,82.29,4928.05,No
